node1,node2,tstart,tend,line
Walthamstow Central,Blackhorse Road,959,961,Victoria line to Blackhorse Road
Blackhorse Road,Tottenham Hale,959,960,Victoria line to Tottenham Hale
King's Cross St. Pancras,Euston,957,958,Victoria line or Northern line to Euston
Highbury & Islington,King's Cross St. Pancras,956,959,Victoria line to King's Cross St.Pancras
Euston,Warren Street,955,956,Northern line or Victoria line to Warren Street
Warren Street,Oxford Circus,954,955,Victoria line to Oxford Circus
Oxford Circus,Green Park,952,953,Victoria line to Green Park
Green Park,Victoria,950,951,Victoria line to Victoria
Victoria,Pimlico,948,949,Victoria line to Pimlico
Stockwell,Brixton,945,947,Victoria line to Brixton
Brixton,Stockwell,958,959,Victoria line to Stockwell
Stockwell,Vauxhall,956,957,Victoria line to Vauxhall
Green Park,Oxford Circus,953,955,Victoria line to Oxford Circus
Oxford Circus,Warren Street,953,954,Victoria line to Warren Street
Warren Street,Euston,952,953,Northern line or Victoria line to Euston
Euston,King's Cross St. Pancras,950,951,Victoria line or Northern line to King's Cross St.Pancras
Finsbury Park,Seven Sisters,947,950,Victoria line to Seven Sisters
Highbury & Islington,Finsbury Park,947,949,Victoria line to Finsbury Park
Seven Sisters,Tottenham Hale,947,948,Victoria line to Tottenham Hale
Tottenham Hale,Blackhorse Road,945,946,Victoria line to Blackhorse Road
Blackhorse Road,Walthamstow Central,943,944,Victoria line to Walthamstow Central
